area,item,element,year,unit,value,flag
Malawi,Maize (corn),Area harvested,2021,ha,1859995,A
Malawi,Maize (corn),Production,2021,t,4581000,A
Malawi,Maize (corn),Yield,2021,kg/ha,2462.9,A
Malawi,Maize (corn),Area harvested,2022,ha,1814931,A
Malawi,Maize (corn),Production,2022,t,3716479,A
Malawi,Maize (corn),Yield,2022,kg/ha,2047.7,A
Mozambique,Maize (corn),Area harvested,1990,ha,1010902,A
Mozambique,Maize (corn),Production,1990,t,452911,A
Mozambique,Maize (corn),Yield,1990,kg/ha,448,A
Mozambique,Maize (corn),Area harvested,1991,ha,1009211,A
Mozambique,Maize (corn),Production,1991,t,327089,A
Mozambique,Maize (corn),Yield,1991,kg/ha,324.1,A
Mozambique,Maize (corn),Area harvested,1992,ha,832132,A
Mozambique,Maize (corn),Production,1992,t,132047,A
Mozambique,Maize (corn),Yield,1992,kg/ha,158.7,A
Mozambique,Maize (corn),Area harvested,1993,ha,841947,A
Mozambique,Maize (corn),Production,1993,t,533083,A
Mozambique,Maize (corn),Yield,1993,kg/ha,633.2,A
Mozambique,Maize (corn),Area harvested,1994,ha,940013,A
Mozambique,Maize (corn),Production,1994,t,489486,A
Mozambique,Maize (corn),Yield,1994,kg/ha,520.7,A
Mozambique,Maize (corn),Area harvested,1995,ha,1080437,A
Mozambique,Maize (corn),Production,1995,t,734000,A
Mozambique,Maize (corn),Yield,1995,kg/ha,679.4,A
Mozambique,Maize (corn),Area harvested,1996,ha,1008000,X
Mozambique,Maize (corn),Production,1996,t,947000,A
Mozambique,Maize (corn),Yield,1996,kg/ha,939.5,E
Mozambique,Maize (corn),Area harvested,1997,ha,1153575,A
Mozambique,Maize (corn),Production,1997,t,1042026,A
Mozambique,Maize (corn),Yield,1997,kg/ha,903.3,A
Mozambique,Maize (corn),Area harvested,1998,ha,1248000,A
Mozambique,Maize (corn),Production,1998,t,1124000,A
Mozambique,Maize (corn),Yield,1998,kg/ha,900.6,A
Mozambique,Maize (corn),Area harvested,1999,ha,1152160,X
Mozambique,Maize (corn),Production,1999,t,1336080,X
Mozambique,Maize (corn),Yield,1999,kg/ha,1159.6,X
Mozambique,Maize (corn),Area harvested,2000,ha,1255866,A
Mozambique,Maize (corn),Production,2000,t,1180432,A
Mozambique,Maize (corn),Yield,2000,kg/ha,939.9,A
Mozambique,Maize (corn),Area harvested,2001,ha,1193380,X
Mozambique,Maize (corn),Production,2001,t,1143263,A
Mozambique,Maize (corn),Yield,2001,kg/ha,958,E
Mozambique,Maize (corn),Area harvested,2002,ha,1577800,A
Mozambique,Maize (corn),Production,2002,t,1114774,A
Mozambique,Maize (corn),Yield,2002,kg/ha,706.5,A
Mozambique,Maize (corn),Area harvested,2003,ha,1356000,E
Mozambique,Maize (corn),Production,2003,t,1181279,A
Mozambique,Maize (corn),Yield,2003,kg/ha,871.1,E
Mozambique,Maize (corn),Area harvested,2004,ha,1311600,X
Mozambique,Maize (corn),Production,2004,t,1060396,A
Mozambique,Maize (corn),Yield,2004,kg/ha,808.5,E
Mozambique,Maize (corn),Area harvested,2005,ha,1902200,A
Mozambique,Maize (corn),Production,2005,t,941517,A
Mozambique,Maize (corn),Yield,2005,kg/ha,495,A
Mozambique,Maize (corn),Area harvested,2006,ha,1663900,A
Mozambique,Maize (corn),Production,2006,t,1395476,A
Mozambique,Maize (corn),Yield,2006,kg/ha,838.7,A
Mozambique,Maize (corn),Area harvested,2007,ha,1664300,A
Mozambique,Maize (corn),Production,2007,t,1133910,A
Mozambique,Maize (corn),Yield,2007,kg/ha,681.3,A
Mozambique,Maize (corn),Area harvested,2008,ha,1964522,A
Mozambique,Maize (corn),Production,2008,t,1213569,A
Mozambique,Maize (corn),Yield,2008,kg/ha,617.7,A
Mozambique,Maize (corn),Area harvested,2009,ha,1612000,X
Mozambique,Maize (corn),Production,2009,t,1612000,X
Mozambique,Maize (corn),Yield,2009,kg/ha,1000,X
Mozambique,Maize (corn),Area harvested,2010,ha,1738042,A
Mozambique,Maize (corn),Production,2010,t,2089890,A
Mozambique,Maize (corn),Yield,2010,kg/ha,1202.4,A
Mozambique,Maize (corn),Area harvested,2011,ha,1812717,A
Mozambique,Maize (corn),Production,2011,t,2178842,A
Mozambique,Maize (corn),Yield,2011,kg/ha,1202,A
Mozambique,Maize (corn),Area harvested,2012,ha,1572000,A
Mozambique,Maize (corn),Production,2012,t,2354778,A
Mozambique,Maize (corn),Yield,2012,kg/ha,1498,A
Mozambique,Maize (corn),Area harvested,2013,ha,1722500,A
Mozambique,Maize (corn),Production,2013,t,1173709,A
Mozambique,Maize (corn),Yield,2013,kg/ha,681.4,A
Mozambique,Maize (corn),Area harvested,2014,ha,1703500,A
Mozambique,Maize (corn),Production,2014,t,1357220,A
Mozambique,Maize (corn),Yield,2014,kg/ha,796.7,A
Mozambique,Maize (corn),Area harvested,2015,ha,1570526,A
Mozambique,Maize (corn),Production,2015,t,1262038,A
Mozambique,Maize (corn),Yield,2015,kg/ha,803.6,A
Mozambique,Maize (corn),Area harvested,2016,ha,1662000,A
